opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
iput-object_freq,,,0.002452882294000872,0.0027254247711120797,0.0027254247711120797,125
,getDefaultPort_call,,0.002452652420845492,0.0027251693564949915,0.0027251693564949915,126
div-int_freq,,,0.0024348038207196703,0.0027053375785774116,0.0027053375785774116,127
fill-array-data_freq,,,0.002434666665411163,0.0027051851837901816,0.0027051851837901816,128
,initCause_call,,0.002415266513105508,0.0026836294590061203,0.0026836294590061203,129
move-exception_freq,,,0.0024108080206210296,0.0026786755784678107,0.0026786755784678107,130
iget-object_freq,,,0.002395305301536104,0.002661450335040116,0.002661450335040116,131
unused_freq,,,0.0023103307145876063,0.002567034127319563,0.002567034127319563,132
,callActivityOnUserLeaving_call,,0.002278160529034251,0.0025312894767047234,0.0025312894767047234,133
,keys_call,,0.0022511644849016717,0.0025012938721129686,0.0025012938721129686,134
sget-short_freq,,,0.002225481173848725,0.002472756859831917,0.002472756859831917,135
shr-long/2addr_freq,,,0.002204373130677849,0.0024493034785309435,0.0024493034785309435,136
invoke-direct_freq,,,0.0021973742373036648,0.0024415269303374055,0.0024415269303374055,137
,getDefault_call,,0.002155662678070058,0.0023951807534111757,0.0023951807534111757,138
,isNinePatchChunk_call,,0.002155459107996835,0.002394954564440928,0.002394954564440928,139
return-void_freq,,,0.0021307191227125824,0.0023674656919028697,0.0023674656919028697,140
aput-byte_freq,,,0.0020933482570577853,0.002325942507841984,0.002325942507841984,141
not-long_freq,,,0.002052975553375236,0.002281083948194707,0.002281083948194707,142
sub-int_freq,,,0.0020512773382775993,0.002279197042530666,0.002279197042530666,143
mul-float_freq,,,0.0020393810219455012,0.002265978913272779,0.002265978913272779,144
move-result-object_freq,,,0.002039103733272375,0.0022656708147470836,0.0022656708147470836,145
long-to-float_freq,,,0.0020123184924854443,0.002235909436094938,0.002235909436094938,146
,connect_call,,0.00197823114451261,0.0021980346050140113,0.0021980346050140113,147
,generateSecret_call,,0.0019664345059809693,0.002184927228867744,0.002184927228867744,148
xor-long_freq,,,0.0019269403971425953,0.002141044885713995,0.002141044885713995,149
div-double/2addr_freq,,,0.0019266569135125095,0.0021407299039027886,0.0021407299039027886,150
const-method-type_freq,,,0.0019254748384649363,0.0021394164871832624,0.0021394164871832624,151
,getAccounts_call,,0.0019205542548864124,0.0021339491720960137,0.0021339491720960137,152
,getDeclaredField_call,,0.0019117244488769333,0.002124138276529926,0.002124138276529926,153
,list_call,,0.0019113321821694982,0.002123702424632776,0.002123702424632776,154
aget-object_freq,,,0.0018991287105561629,0.0021101430117290696,0.0021101430117290696,155
rsub-int/lit8_freq,,,0.0018985077991018962,0.0021094531101132183,0.0021094531101132183,156
unused_freq,,,0.0018966814196734055,0.0021074237996371176,0.0021074237996371176,157
move-wide_freq,,,0.0018810209383004848,0.0020900232647783163,0.0020900232647783163,158
aput-object_freq,,,0.0018629997482871613,0.0020699997203190686,0.0020699997203190686,159
int-to-byte_freq,,,0.001845728290031453,0.002050809211146059,0.002050809211146059,160
filled-new-array_freq,,,0.0018291985556454181,0.0020324428396060203,0.0020324428396060203,161
if-ge_freq,,,0.0018227860999450217,0.002025317888827802,0.002025317888827802,162
,updateWithOnConflict_call,,0.001821761671750073,0.002024179635277859,0.002024179635277859,163
move-wide/from16_freq,,,0.001800336014855395,0.002000373349839328,0.002000373349839328,164
,markSupported_call,,0.0017957010843977408,0.001995223427108601,0.001995223427108601,165
aput-boolean_freq,,,0.0017837310046988329,0.001981923338554259,0.001981923338554259,166
invoke-super_freq,,,0.0017754983519946371,0.001972775946660708,0.001972775946660708,167
invoke-virtual_freq,,,0.0017680911469237753,0.001964545718804195,0.001964545718804195,168
iget_freq,,,0.001767154245831534,0.0019635047175905933,0.0019635047175905933,169
double-to-long_freq,,,0.0017466657057281752,0.001940739673031306,0.001940739673031306,170
